order_id,item_id,quantity,special_request,subtotal,payment_method,order_placed,order_status
1,7,2,Spicy,24.3,Cash,2023-03-01 12:50:30,In Progress
2,20,3,Spicy,28.2,Interac Transfer,2023-05-24 23:13:44,Completed
3,15,3,Extra syrup,11.53,Interac Transfer,2023-01-20 22:18:15,Cancelled
4,11,3,Extra syrup,13.37,Cash,2023-01-09 08:29:29,Completed
5,8,1,Extra syrup,16.61,Cash,2023-01-22 17:08:57,Cancelled
6,21,1,None,28.18,Credit Card,2023-01-08 01:56:27,In Progress
7,7,2,No powdered sugar,27.53,Cash,2023-07-17 16:58:44,Completed
8,19,5,Extra syrup,7.25,Interac Transfer,2023-06-01 21:43:35,Completed
9,11,5,Extra syrup,8.3,Cash,2023-08-11 21:42:45,Completed
10,11,5,None,17.39,Credit Card,2023-10-23 04:17:11,In Progress
11,21,2,None,7.67,Credit Card,2023-01-09 21:39:16,In Progress
12,4,5,None,13.64,Cash,2023-04-18 09:50:50,Completed
13,8,5,No powdered sugar,8.71,Credit Card,2023-05-08 20:40:59,In Progress
14,3,3,Extra syrup,20.9,Credit Card,2023-06-27 16:05:15,Cancelled
15,22,1,Extra gravy,28.74,Interac Transfer,2023-11-11 00:33:21,In Progress
16,21,1,Extra gravy,29.92,Credit Card,2023-04-05 02:22:12,Completed
17,2,3,Extra syrup,14.38,Credit Card,2023-02-07 21:17:19,Cancelled
18,12,3,Extra syrup,19.98,Cash,2023-08-31 22:19:41,Completed
19,6,3,Extra syrup,26.41,Interac Transfer,2023-08-29 12:37:46,Completed
20,2,1,Extra syrup,7.94,Credit Card,2023-05-12 10:04:15,Completed
21,21,5,No powdered sugar,22.24,Cash,2023-12-30 05:45:07,In Progress
22,1,3,Extra gravy,15.22,Cash,2023-05-31 05:48:57,Completed
23,12,2,Spicy,10.15,Cash,2023-08-08 13:01:57,Cancelled
24,22,3,Extra gravy,15.07,Cash,2023-11-26 15:58:44,Cancelled
25,12,4,Extra gravy,6.9,Cash,2023-05-31 12:15:44,Cancelled
26,17,3,None,22.39,Cash,2023-09-01 02:41:12,Completed
27,10,1,Extra syrup,11.32,Credit Card,2023-01-25 03:50:45,Cancelled
28,16,3,Extra syrup,12.79,Interac Transfer,2023-11-29 02:50:56,Cancelled
29,15,4,Extra syrup,8.03,Interac Transfer,2023-05-27 11:59:47,Cancelled
30,15,2,None,26.62,Cash,2023-08-28 09:38:24,Cancelled
31,19,5,No powdered sugar,17.34,Cash,2023-06-20 07:51:46,In Progress
32,12,3,No powdered sugar,19.3,Interac Transfer,2023-09-29 13:31:27,Completed
33,20,4,Spicy,19.24,Credit Card,2023-11-16 18:17:00,Completed
34,3,4,No powdered sugar,15.26,Cash,2023-10-17 21:27:46,Cancelled
35,5,2,No powdered sugar,9.81,Interac Transfer,2023-08-19 03:55:58,Completed
36,19,1,Extra syrup,23.63,Interac Transfer,2023-09-04 22:48:24,Cancelled
37,7,3,Extra gravy,8.18,Cash,2023-05-21 00:21:04,Cancelled
38,21,4,No powdered sugar,7.6,Interac Transfer,2023-08-05 03:51:01,Cancelled
39,9,2,No powdered sugar,22.75,Credit Card,2023-04-24 05:55:52,Completed
40,7,5,None,10.22,Interac Transfer,2023-12-07 14:28:32,In Progress
41,18,4,Spicy,12.67,Cash,2023-02-20 00:07:49,Completed
42,4,2,None,16.88,Cash,2023-03-24 18:53:53,Completed
43,14,1,Extra syrup,16.23,Interac Transfer,2023-10-23 17:19:56,In Progress
44,18,1,Extra gravy,22.71,Interac Transfer,2023-02-12 04:14:53,Completed
45,9,4,Spicy,20.59,Cash,2023-11-27 22:02:51,In Progress
46,21,4,None,21.11,Credit Card,2023-10-22 10:46:22,Cancelled
47,2,3,No powdered sugar,22.85,Interac Transfer,2023-08-26 07:03:39,In Progress
48,20,2,No powdered sugar,12.32,Credit Card,2023-08-15 14:14:26,Cancelled
49,15,4,Spicy,13.06,Credit Card,2023-11-20 23:23:42,In Progress
50,7,3,No powdered sugar,15.95,Cash,2023-02-03 15:24:16,Cancelled
51,12,3,None,12.69,Cash,2023-06-19 21:37:23,Completed
52,8,4,None,29.62,Cash,2023-11-23 16:05:12,In Progress
53,15,1,No powdered sugar,25.35,Credit Card,2023-04-30 17:48:53,Completed
54,3,2,No powdered sugar,9.12,Cash,2023-08-29 15:28:03,Cancelled
55,14,2,Extra syrup,5.14,Cash,2023-02-26 14:37:16,In Progress
56,17,1,Extra gravy,6.07,Credit Card,2023-06-03 04:32:26,In Progress
57,4,4,Spicy,11.1,Credit Card,2023-02-28 10:17:59,In Progress
58,18,2,None,7.86,Credit Card,2023-01-22 07:10:22,Completed
59,8,4,Spicy,18.33,Credit Card,2023-02-01 01:54:16,Cancelled
60,4,4,Extra syrup,26.45,Interac Transfer,2023-09-08 17:38:37,Completed
61,2,3,None,23.42,Cash,2023-09-19 16:05:33,In Progress
62,6,1,Extra syrup,10.39,Interac Transfer,2023-11-25 13:10:19,Cancelled
63,22,4,Extra syrup,14.98,Credit Card,2023-08-23 04:03:37,Cancelled
64,10,5,No powdered sugar,17.7,Credit Card,2023-03-02 13:28:54,Completed
65,4,1,Spicy,25.26,Credit Card,2023-10-18 14:08:46,Completed
66,22,2,Spicy,25.98,Credit Card,2023-12-25 14:14:57,In Progress
67,18,3,No powdered sugar,27.74,Credit Card,2023-08-08 06:27:49,In Progress
68,12,2,Spicy,17.73,Cash,2023-12-07 10:07:49,In Progress
69,2,2,No powdered sugar,22.36,Interac Transfer,2023-07-27 19:30:15,In Progress
70,10,1,None,7.8,Interac Transfer,2023-12-19 08:19:35,Cancelled
71,4,2,Extra syrup,19.13,Cash,2023-08-26 12:08:38,In Progress
72,14,4,Extra syrup,11.22,Cash,2023-10-30 15:48:31,In Progress
73,16,2,Spicy,15.79,Cash,2023-07-01 10:34:55,In Progress
74,15,3,Extra gravy,20.85,Interac Transfer,2023-03-14 05:14:16,Completed
75,8,3,Extra syrup,11.42,Interac Transfer,2023-09-24 12:24:02,Completed
76,14,5,No powdered sugar,6.3,Credit Card,2023-10-14 15:09:02,Completed
77,8,3,Extra gravy,5.26,Interac Transfer,2023-01-05 17:21:33,In Progress
78,21,2,Extra gravy,5.55,Interac Transfer,2023-08-15 23:00:32,Cancelled
79,16,3,Extra syrup,5.21,Cash,2023-02-02 10:56:29,In Progress
80,13,1,Extra syrup,7.76,Interac Transfer,2023-05-26 20:19:35,Completed
81,18,3,Extra syrup,10.99,Credit Card,2023-04-21 09:53:14,Completed
82,15,4,No powdered sugar,10.53,Interac Transfer,2023-04-03 19:37:27,In Progress
83,21,1,Extra gravy,29.67,Cash,2023-07-07 16:49:08,Cancelled
84,13,5,Spicy,12.65,Cash,2023-11-23 10:18:52,Cancelled
85,9,4,No powdered sugar,8.19,Credit Card,2023-05-08 10:00:10,Cancelled
86,15,2,None,18.64,Credit Card,2023-05-07 05:49:22,Completed
87,13,2,Extra syrup,26.45,Interac Transfer,2023-03-03 02:14:28,Completed
88,1,2,Extra gravy,21.95,Credit Card,2023-06-14 11:28:28,Cancelled
89,7,4,No powdered sugar,12.4,Credit Card,2023-09-20 00:10:04,In Progress
90,9,4,None,19.04,Cash,2023-11-29 13:13:42,Cancelled
91,1,4,No powdered sugar,22.87,Cash,2023-06-13 13:18:06,In Progress
92,12,1,No powdered sugar,23.2,Interac Transfer,2023-11-26 17:10:15,Completed
93,8,1,Spicy,21.66,Interac Transfer,2023-01-26 15:05:30,Completed
94,11,2,Spicy,26.77,Interac Transfer,2023-06-22 03:08:49,Completed
95,19,3,No powdered sugar,26.75,Interac Transfer,2023-02-24 04:48:19,Cancelled
96,17,2,None,19.47,Cash,2023-04-07 04:59:37,Cancelled
97,8,5,Extra gravy,15.75,Interac Transfer,2023-09-04 17:54:09,Completed
98,3,1,Extra gravy,21.04,Interac Transfer,2023-09-26 02:59:25,Completed
99,3,4,Extra syrup,25.46,Credit Card,2023-11-30 05:58:32,Completed
100,1,1,Extra syrup,5.14,Interac Transfer,2023-02-13 19:56:38,Cancelled
101,5,4,Extra gravy,29.8,Credit Card,2023-11-24 02:51:15,Cancelled
102,10,5,No powdered sugar,9.57,Cash,2023-06-03 08:05:43,Completed
103,7,5,No powdered sugar,16.76,Interac Transfer,2023-07-04 00:18:58,Cancelled
104,9,1,Spicy,26.8,Credit Card,2023-06-08 03:54:28,Cancelled
105,7,4,Spicy,10.63,Interac Transfer,2023-12-09 18:21:14,Cancelled
106,9,5,Extra syrup,16.92,Credit Card,2023-02-23 06:55:37,Cancelled
107,8,2,Extra gravy,8.31,Interac Transfer,2023-03-09 20:37:58,Completed
108,12,2,No powdered sugar,14.88,Cash,2023-11-13 21:44:52,Completed
109,2,4,Extra gravy,9.43,Cash,2023-11-06 10:38:58,Cancelled
110,1,1,None,14.09,Credit Card,2023-03-23 18:31:54,Completed
111,16,5,Extra gravy,14.34,Credit Card,2023-03-28 03:08:41,Completed
112,5,1,None,29.83,Cash,2023-01-22 04:43:43,Completed
113,3,2,Spicy,29.87,Interac Transfer,2023-09-09 19:09:24,In Progress
114,12,5,Spicy,7.87,Credit Card,2023-06-30 08:45:13,Completed
115,8,1,Extra syrup,23.15,Cash,2023-08-02 21:52:30,Completed
116,22,3,Extra gravy,6.29,Credit Card,2023-09-20 21:49:06,Cancelled
117,3,4,Extra gravy,5.75,Cash,2023-05-07 15:49:27,Cancelled
118,1,4,None,7.63,Cash,2023-06-12 11:31:39,In Progress
119,3,3,Spicy,29.14,Credit Card,2023-06-14 09:25:31,In Progress
120,5,2,None,28.52,Credit Card,2023-05-11 07:38:13,Completed
121,15,5,Spicy,9.85,Cash,2023-03-03 07:15:20,Completed
122,14,4,None,9.04,Interac Transfer,2023-12-21 07:36:43,Cancelled
123,3,3,Spicy,11.01,Cash,2023-08-31 20:56:30,Completed
124,1,3,None,17.89,Interac Transfer,2023-11-23 03:24:08,Completed
125,5,2,Spicy,19.24,Interac Transfer,2023-04-12 02:27:42,Completed
126,14,2,None,10.54,Interac Transfer,2023-08-09 05:08:46,Completed
127,7,1,Extra gravy,23.92,Credit Card,2023-04-10 15:45:01,Completed
128,9,4,Extra syrup,12.74,Cash,2023-04-11 09:40:04,Completed
129,15,1,None,28.05,Cash,2023-05-22 17:27:43,Completed
130,15,3,Extra syrup,21.42,Interac Transfer,2023-02-27 00:32:35,Completed
131,10,5,Extra gravy,15.91,Interac Transfer,2023-06-03 19:48:55,Cancelled
132,13,5,Extra gravy,24.75,Interac Transfer,2023-06-18 19:50:32,In Progress
133,19,2,Spicy,25.45,Cash,2023-10-15 15:11:39,Completed
134,7,5,Extra syrup,12.26,Interac Transfer,2023-12-05 08:39:06,Cancelled
135,17,5,No powdered sugar,13.49,Cash,2023-01-26 15:37:56,Completed
136,20,5,Spicy,28.4,Cash,2023-06-12 14:37:29,Completed
137,4,3,Extra syrup,9.12,Credit Card,2023-01-05 12:35:59,In Progress
138,5,5,None,6.05,Interac Transfer,2023-03-15 00:36:42,Cancelled
139,7,5,None,16.35,Interac Transfer,2023-04-16 17:09:08,Completed
140,13,5,Extra gravy,25.03,Interac Transfer,2023-01-29 15:03:52,In Progress
141,15,1,No powdered sugar,24.29,Credit Card,2023-02-21 11:14:30,In Progress
142,11,3,None,27.99,Interac Transfer,2023-02-17 16:29:57,Completed
143,4,2,Extra syrup,18.33,Cash,2023-09-09 12:31:11,Completed
144,13,1,Extra syrup,7.5,Interac Transfer,2023-03-16 14:45:56,Cancelled
145,7,4,None,19.72,Cash,2023-10-27 22:27:49,Cancelled
146,19,3,Extra syrup,24.46,Cash,2023-08-23 13:53:03,Completed
147,22,3,Extra syrup,7.33,Cash,2023-08-30 07:46:23,Completed
148,2,4,Extra gravy,9.32,Cash,2023-01-18 05:08:43,In Progress
149,10,4,No powdered sugar,5.31,Interac Transfer,2023-11-25 07:05:21,Cancelled
150,13,4,Extra gravy,19.84,Credit Card,2023-06-20 18:55:51,Completed
151,21,2,No powdered sugar,27.17,Credit Card,2023-08-18 19:49:28,Completed
152,6,5,Extra syrup,21.77,Cash,2023-08-02 19:06:36,Cancelled
153,12,3,No powdered sugar,29.55,Interac Transfer,2023-10-17 01:00:41,Completed
154,12,5,Extra syrup,6.58,Credit Card,2023-10-07 12:03:41,In Progress
155,20,5,Extra syrup,27.58,Interac Transfer,2023-05-31 06:54:11,In Progress
156,11,4,Extra gravy,25.35,Credit Card,2023-05-28 17:35:27,Completed
157,7,2,Extra gravy,12.86,Cash,2023-07-21 00:46:01,Cancelled
158,1,1,Spicy,29.34,Cash,2023-07-06 04:26:50,In Progress
159,1,2,None,12.2,Cash,2023-09-26 00:05:57,Cancelled
160,20,5,Spicy,27.23,Credit Card,2023-10-08 11:46:18,Cancelled
161,13,2,Spicy,27.02,Interac Transfer,2023-06-21 11:50:14,Cancelled
162,9,4,No powdered sugar,23.94,Cash,2023-01-31 02:03:13,In Progress
163,3,1,Extra syrup,19.09,Interac Transfer,2023-12-16 03:17:45,In Progress
164,7,4,Extra syrup,8.0,Interac Transfer,2023-08-11 11:40:41,Completed
165,6,1,Extra syrup,18.3,Cash,2023-09-18 11:21:26,Cancelled
166,8,5,None,13.92,Credit Card,2023-03-29 10:19:36,In Progress
167,9,1,No powdered sugar,24.81,Cash,2023-02-13 09:43:32,In Progress
168,5,1,No powdered sugar,23.95,Cash,2023-11-02 06:25:57,Completed
169,1,1,Extra syrup,27.77,Credit Card,2023-12-28 19:47:17,In Progress
170,19,2,Spicy,5.37,Interac Transfer,2023-02-12 21:08:39,In Progress
171,10,2,None,25.23,Credit Card,2023-08-29 07:29:43,In Progress
172,12,5,Spicy,28.46,Credit Card,2023-03-10 04:19:03,Completed
173,15,1,Extra gravy,24.73,Cash,2023-05-05 01:03:01,Completed
174,22,3,No powdered sugar,8.25,Credit Card,2023-01-01 09:52:52,Cancelled
175,9,5,No powdered sugar,7.03,Credit Card,2023-12-16 17:20:08,In Progress
176,20,1,Spicy,5.52,Credit Card,2023-04-08 23:29:21,Completed
177,17,1,None,20.72,Interac Transfer,2023-10-24 14:19:45,Completed
178,17,2,No powdered sugar,20.74,Interac Transfer,2023-02-04 09:12:22,Completed
179,20,5,Spicy,29.67,Cash,2023-02-02 20:37:06,Cancelled
180,12,1,None,14.95,Cash,2023-01-27 16:49:16,Cancelled
181,7,1,Spicy,13.3,Interac Transfer,2023-03-10 18:36:19,Cancelled
182,2,5,None,20.61,Credit Card,2023-06-26 15:19:16,Cancelled
183,3,3,Extra syrup,25.64,Cash,2023-08-14 04:34:22,Cancelled
