Customer_ID,Item_ID,Feedback_Text,Rating,Submission_Timestamp,Feedback_Category
1102,20,Service was slow.,2,2023-09-08 21:32:15,Ambience
1435,7,Could be better.,5,2023-11-05 00:42:27,Food Quality
1860,3,Loved it!,1,2023-10-14 10:14:20,Ambience
1270,18,Could be better.,1,2023-10-20 19:28:59,Service
1106,10,Delicious!,5,2023-05-12 06:38:47,Value for Money
1071,7,Service was slow.,3,2023-07-11 15:27:35,Ambience
1700,17,Loved it!,5,2023-09-06 09:59:19,Food Quality
1020,14,Great experience!,5,2023-03-21 06:33:42,Value for Money
1614,3,Service was slow.,3,2023-04-29 22:32:06,Ambience
1121,12,Great experience!,5,2023-04-16 00:11:25,Ambience
1466,13,Could be better.,1,2023-09-16 19:12:58,Value for Money
1214,2,Needs improvement.,5,2023-08-29 02:36:35,Value for Money
1330,3,Service was slow.,3,2023-01-02 14:38:54,Value for Money
1458,5,Could be better.,4,2023-08-27 06:35:14,Food Quality
1087,11,Great experience!,5,2023-10-10 13:52:44,Food Quality
1372,8,Delicious!,2,2023-12-10 19:28:14,Ambience
1099,12,Delicious!,1,2023-04-25 00:26:46,Ambience
1871,7,Needs improvement.,1,2023-01-04 03:00:02,Service
1663,15,Service was slow.,2,2023-06-15 11:47:49,Food Quality
1130,17,Service was slow.,2,2023-12-25 02:46:10,Ambience
1661,4,Service was slow.,5,2023-09-05 15:00:48,Value for Money
1308,22,Could be better.,2,2023-11-27 14:16:35,Value for Money
1769,13,Needs improvement.,4,2023-01-17 04:41:39,Food Quality
1343,18,Service was slow.,3,2023-02-18 00:03:34,Value for Money
1491,1,Could be better.,2,2023-09-19 23:18:46,Service
1413,16,Delicious!,2,2023-01-10 01:20:10,Ambience
1805,13,Great experience!,4,2023-04-02 03:49:07,Ambience
1385,10,Could be better.,1,2023-04-27 23:20:35,Ambience
1191,12,Delicious!,1,2023-11-16 12:45:49,Food Quality
1955,2,Delicious!,5,2023-07-07 22:48:44,Value for Money
1276,3,Great experience!,4,2023-12-14 08:14:21,Service
1160,10,Delicious!,3,2023-07-22 10:30:08,Food Quality
1459,2,Needs improvement.,3,2023-03-08 14:45:37,Ambience
1313,13,Great experience!,4,2023-06-01 11:37:43,Service
1021,13,Delicious!,3,2023-07-18 01:59:41,Ambience
1252,18,Loved it!,1,2023-10-13 06:23:52,Ambience
1747,3,Could be better.,3,2023-05-14 19:53:38,Food Quality
1856,7,Delicious!,3,2023-02-01 23:43:00,Ambience
1560,14,Needs improvement.,4,2023-06-30 08:59:54,Service
1474,20,Service was slow.,4,2023-02-03 01:56:55,Ambience
1058,17,Delicious!,3,2023-08-09 01:09:44,Value for Money
1510,21,Service was slow.,2,2023-08-06 13:41:37,Ambience
1681,12,Loved it!,4,2023-10-02 06:20:36,Food Quality
1475,16,Delicious!,5,2023-05-10 12:18:14,Service
1699,12,Great experience!,5,2023-05-06 01:22:27,Food Quality
1975,15,Service was slow.,1,2023-09-01 07:09:57,Value for Money
1782,10,Loved it!,3,2023-07-02 00:12:16,Ambience
1189,7,Great experience!,2,2023-02-15 01:26:34,Food Quality
1957,20,Great experience!,1,2023-11-20 21:12:59,Food Quality
1686,5,Great experience!,3,2023-03-07 18:17:49,Food Quality
1957,1,Great experience!,4,2023-12-30 01:52:19,Food Quality
1562,17,Delicious!,5,2023-11-20 11:08:05,Value for Money
1875,3,Could be better.,2,2023-01-15 12:52:40,Value for Money
1566,13,Delicious!,5,2023-12-07 14:47:02,Ambience
1243,14,Delicious!,4,2023-08-07 15:28:24,Ambience
1831,18,Loved it!,3,2023-03-18 14:54:51,Service
1504,4,Loved it!,4,2023-08-01 22:10:43,Value for Money
1130,18,Could be better.,4,2023-06-12 04:24:35,Food Quality
1484,5,Loved it!,5,2023-12-09 18:47:32,Food Quality
1818,16,Needs improvement.,2,2023-12-29 02:03:37,Service
1646,1,Could be better.,4,2023-11-15 12:58:13,Food Quality
1020,21,Loved it!,5,2023-10-03 06:16:08,Service
1840,14,Could be better.,2,2023-10-09 19:08:32,Ambience
1166,15,Delicious!,3,2023-08-07 22:20:38,Value for Money
1273,9,Delicious!,3,2023-12-19 21:16:19,Service
1387,15,Could be better.,1,2023-02-28 03:19:59,Food Quality
1600,17,Needs improvement.,5,2023-04-18 17:54:00,Service
1315,4,Needs improvement.,2,2023-10-22 13:45:16,Ambience
1013,12,Could be better.,4,2023-05-07 10:35:05,Food Quality
1241,5,Loved it!,3,2023-08-02 06:39:36,Ambience
1776,5,Service was slow.,2,2023-10-03 21:25:33,Ambience
1345,11,Needs improvement.,5,2023-12-03 01:30:44,Service
1564,6,Great experience!,1,2023-08-08 12:08:14,Ambience
1897,7,Delicious!,3,2023-02-25 09:09:34,Food Quality
1339,14,Could be better.,2,2023-08-26 19:25:01,Ambience
1091,11,Great experience!,2,2023-01-15 22:35:07,Ambience
1366,13,Could be better.,2,2023-07-11 21:13:42,Service
1955,2,Delicious!,5,2023-06-07 22:20:20,Ambience
1454,7,Delicious!,5,2023-01-17 14:42:48,Value for Money
1427,20,Needs improvement.,5,2023-10-18 09:14:25,Service
1508,4,Needs improvement.,4,2023-11-06 02:24:35,Service
1775,8,Great experience!,2,2023-05-21 03:47:29,Food Quality
1942,20,Could be better.,3,2023-11-07 19:50:01,Food Quality
1034,22,Delicious!,5,2023-02-07 13:54:10,Food Quality
1205,21,Great experience!,5,2023-04-11 04:03:05,Food Quality
1080,19,Service was slow.,2,2023-08-01 18:13:33,Value for Money
1931,13,Great experience!,5,2023-05-26 18:43:00,Service
1561,14,Loved it!,4,2023-12-19 10:15:30,Ambience
1871,10,Great experience!,4,2023-03-04 08:24:20,Food Quality
1387,11,Loved it!,5,2023-07-26 06:51:08,Food Quality
1001,2,Loved it!,2,2023-10-20 04:10:19,Food Quality
1389,9,Loved it!,2,2023-12-07 21:45:31,Ambience
1565,17,Service was slow.,2,2023-01-31 20:15:22,Food Quality
1105,3,Great experience!,1,2023-11-29 06:15:50,Ambience
1771,6,Great experience!,5,2023-12-25 21:21:51,Service
1821,5,Service was slow.,2,2023-07-30 18:52:27,Service
1476,5,Delicious!,4,2023-12-11 23:09:43,Service
1702,22,Needs improvement.,3,2023-05-21 23:58:59,Value for Money
1401,15,Great experience!,3,2023-08-30 07:21:07,Ambience
1729,17,Needs improvement.,2,2023-06-28 13:50:52,Food Quality
1555,9,Could be better.,3,2023-02-20 09:34:50,Food Quality
1161,3,Could be better.,3,2023-01-23 16:03:36,Food Quality
1201,20,Service was slow.,1,2023-06-23 16:07:33,Food Quality
1957,17,Could be better.,4,2023-09-27 10:35:00,Value for Money
1995,10,Could be better.,4,2023-01-12 07:48:55,Food Quality
1269,3,Delicious!,1,2023-05-29 19:21:11,Value for Money
1862,18,Delicious!,1,2023-10-11 07:38:53,Ambience
1815,18,Delicious!,3,2023-11-15 16:39:05,Service
1270,17,Could be better.,5,2023-05-22 19:36:25,Food Quality
1455,3,Service was slow.,3,2023-10-29 15:18:13,Service
1461,3,Loved it!,1,2023-11-19 06:45:01,Ambience
1726,6,Loved it!,4,2023-01-16 06:09:16,Ambience
1251,13,Needs improvement.,3,2023-01-12 09:29:49,Food Quality
