order_id,customer_id,item_id,quantity,special_request,subtotal,payment_method,order_placed,order_status
1,1102,14,2,Spicy,14.65,Credit Card,2023-11-27 10:49:51,Completed
2,1435,22,4,Extra mustard,24.26,Cash,2023-08-11 02:27:58,In Progress
3,1860,7,3,Spicy,25.53,Interac Transfer,2023-04-29 04:50:00,In Progress
4,1270,21,4,No powdered sugar,22.47,Interac Transfer,2023-04-29 23:51:11,Completed
5,1106,7,3,Extra mustard,22.3,Credit Card,2023-08-04 11:59:44,In Progress
6,1071,1,3,Extra gravy,17.66,Cash,2023-01-22 17:35:24,Cancelled
7,1700,17,5,None,18.46,Cash,2023-08-18 09:54:12,In Progress
8,1020,9,2,None,23.57,Credit Card,2023-09-05 12:56:51,Completed
9,1614,21,2,No powdered sugar,11.18,Interac Transfer,2023-01-02 15:03:52,Cancelled
10,1121,13,3,Spicy,10.79,Credit Card,2023-06-02 01:50:53,Completed
11,1466,21,2,Extra gravy,28.75,Credit Card,2023-08-22 22:13:13,Completed
12,1214,19,1,Extra mustard,5.69,Cash,2023-10-29 21:31:20,Cancelled
13,1330,21,3,Spicy,8.49,Interac Transfer,2023-01-19 23:08:54,In Progress
14,1458,19,2,No powdered sugar,19.26,Interac Transfer,2023-03-04 06:36:00,Completed
15,1087,22,1,Spicy,23.45,Cash,2023-04-02 21:49:20,In Progress
16,1372,17,5,No powdered sugar,18.45,Interac Transfer,2023-12-04 06:42:38,In Progress
17,1099,10,2,None,13.88,Interac Transfer,2023-04-03 11:34:23,Cancelled
18,1871,10,1,None,29.45,Credit Card,2023-08-18 10:02:11,Completed
19,1663,4,4,Spicy,22.6,Credit Card,2023-10-30 08:18:16,Cancelled
20,1130,8,4,Extra gravy,25.78,Credit Card,2023-02-24 00:13:49,Cancelled
21,1661,22,1,Extra mustard,6.01,Interac Transfer,2023-07-19 22:17:41,Completed
22,1308,20,3,No powdered sugar,10.9,Interac Transfer,2023-12-14 00:49:41,Completed
23,1769,20,3,Extra mustard,14.35,Interac Transfer,2023-04-28 12:06:36,Cancelled
24,1343,18,2,None,9.57,Interac Transfer,2023-05-18 04:30:17,Cancelled
25,1491,14,4,Extra gravy,6.82,Cash,2023-11-12 11:20:07,Cancelled
26,1413,18,3,Extra gravy,10.63,Cash,2023-12-17 00:42:00,Completed
27,1805,14,3,Extra mustard,18.34,Interac Transfer,2023-10-14 22:26:19,Completed
28,1385,20,4,None,22.39,Credit Card,2023-09-24 11:03:06,Cancelled
29,1191,21,5,Extra mustard,24.35,Credit Card,2023-07-22 04:21:55,Completed
30,1955,15,3,Spicy,6.07,Cash,2023-04-13 12:38:00,Completed
31,1276,22,1,Extra gravy,15.7,Cash,2023-02-25 17:43:29,Completed
32,1160,4,2,Extra gravy,8.06,Interac Transfer,2023-11-21 14:09:12,In Progress
33,1459,13,3,Spicy,15.78,Interac Transfer,2023-12-05 21:34:15,In Progress
34,1313,8,3,None,15.85,Interac Transfer,2023-01-23 13:44:52,Cancelled
35,1021,18,5,Extra gravy,17.46,Interac Transfer,2023-08-19 09:22:40,In Progress
36,1252,12,1,No powdered sugar,27.32,Interac Transfer,2023-11-22 19:56:59,Cancelled
37,1747,14,2,No powdered sugar,25.13,Credit Card,2023-02-11 15:37:43,Cancelled
38,1856,2,3,None,20.92,Credit Card,2023-10-30 12:38:18,Completed
39,1560,18,2,Spicy,27.14,Interac Transfer,2023-07-07 18:33:02,Cancelled
40,1474,2,4,Extra mustard,21.96,Credit Card,2023-07-29 07:57:47,Cancelled
41,1058,11,3,None,25.47,Interac Transfer,2023-03-05 03:29:52,Cancelled
42,1510,9,3,Extra mustard,19.09,Interac Transfer,2023-01-06 17:09:59,Cancelled
43,1681,12,4,None,18.13,Cash,2023-03-17 07:06:53,Completed
44,1475,17,5,No powdered sugar,23.1,Credit Card,2023-11-30 04:28:26,Completed
45,1699,15,3,Spicy,5.49,Credit Card,2023-03-09 06:43:09,Cancelled
46,1975,17,2,No powdered sugar,22.26,Cash,2023-03-15 22:54:52,In Progress
47,1782,18,1,Spicy,28.36,Credit Card,2023-03-29 13:29:21,In Progress
48,1189,22,2,Extra mustard,22.85,Cash,2023-09-08 16:41:39,Cancelled
49,1957,6,5,None,5.92,Credit Card,2023-09-12 23:28:07,Completed
50,1686,17,1,Extra gravy,14.45,Interac Transfer,2023-06-20 01:20:43,Cancelled
51,1957,18,2,Extra gravy,25.24,Cash,2023-01-12 02:00:45,Cancelled
52,1562,8,2,Spicy,28.97,Interac Transfer,2023-11-04 14:25:41,Completed
53,1875,9,4,Spicy,14.25,Interac Transfer,2023-06-08 18:48:57,In Progress
54,1566,6,5,No powdered sugar,26.03,Credit Card,2023-05-10 13:05:27,Cancelled
55,1243,5,4,Extra gravy,26.6,Cash,2023-01-31 02:47:15,Completed
56,1831,12,1,No powdered sugar,8.08,Interac Transfer,2023-03-28 00:32:47,Completed
57,1504,11,4,Extra mustard,26.14,Interac Transfer,2023-08-06 17:44:01,Cancelled
58,1130,1,5,Extra gravy,13.11,Cash,2023-11-25 13:09:25,Completed
59,1484,11,3,Extra mustard,19.83,Credit Card,2023-08-20 06:46:56,Cancelled
60,1818,19,3,None,18.47,Interac Transfer,2023-10-20 14:51:10,In Progress
61,1646,9,1,No powdered sugar,21.58,Credit Card,2023-05-23 00:50:39,Cancelled
62,1020,2,3,Spicy,23.51,Cash,2023-01-24 02:10:21,In Progress
63,1840,12,4,Extra gravy,16.02,Credit Card,2023-11-09 00:31:57,Completed
64,1166,4,1,No powdered sugar,27.21,Cash,2023-09-09 17:51:01,Cancelled
65,1273,4,5,Spicy,25.24,Credit Card,2023-05-05 17:44:55,Completed
66,1387,18,1,None,24.64,Credit Card,2023-09-05 20:57:34,Cancelled
67,1600,15,1,Extra gravy,16.46,Interac Transfer,2023-04-25 20:56:33,Completed
68,1315,19,2,Extra mustard,5.94,Credit Card,2023-06-20 16:26:50,In Progress
69,1013,13,2,None,17.31,Interac Transfer,2023-11-11 08:46:42,Cancelled
70,1241,19,1,Spicy,27.46,Cash,2023-02-26 10:52:11,Completed
71,1776,17,3,Extra gravy,9.76,Cash,2023-09-14 06:33:26,Cancelled
72,1345,6,2,Extra gravy,29.56,Interac Transfer,2023-06-05 03:08:56,Cancelled
73,1564,16,5,None,25.19,Credit Card,2023-11-06 11:56:36,In Progress
74,1897,12,4,Extra gravy,22.75,Cash,2023-10-15 15:38:43,Completed
75,1339,19,2,Spicy,21.93,Cash,2023-08-12 07:18:43,Cancelled
76,1091,5,1,None,19.68,Cash,2023-02-28 12:46:56,Cancelled
77,1366,17,3,Extra mustard,23.02,Interac Transfer,2023-03-31 13:44:19,Cancelled
78,1955,1,4,None,15.55,Cash,2023-10-28 03:14:10,Cancelled
79,1454,10,2,None,26.13,Cash,2023-07-29 23:52:17,Cancelled
80,1427,15,3,Extra mustard,22.41,Cash,2023-12-24 22:09:35,Completed
81,1508,21,3,Spicy,24.28,Cash,2023-12-21 18:29:04,Cancelled
82,1775,21,3,No powdered sugar,24.81,Interac Transfer,2023-12-16 14:19:33,Cancelled
83,1942,11,1,No powdered sugar,7.3,Interac Transfer,2023-07-05 12:21:30,Cancelled
84,1034,13,5,Extra mustard,6.39,Credit Card,2023-07-07 14:38:45,Completed
85,1205,5,3,Spicy,25.02,Cash,2023-08-22 19:51:44,Cancelled
86,1080,1,4,Extra gravy,11.48,Interac Transfer,2023-09-01 14:23:16,Cancelled
87,1931,12,2,Extra mustard,19.55,Credit Card,2023-12-05 01:03:59,In Progress
88,1561,11,4,No powdered sugar,16.09,Credit Card,2023-12-07 22:06:59,In Progress
89,1871,17,1,Spicy,5.55,Cash,2023-10-13 04:20:51,Cancelled
90,1387,4,1,None,6.01,Credit Card,2023-06-11 13:45:06,Cancelled
91,1001,15,4,Spicy,25.68,Interac Transfer,2023-04-21 05:25:41,In Progress
92,1389,9,5,Spicy,20.19,Credit Card,2023-11-03 06:52:20,Completed
93,1565,21,1,No powdered sugar,18.1,Credit Card,2023-12-04 08:18:08,Completed
94,1105,20,1,No powdered sugar,28.61,Interac Transfer,2023-08-26 21:54:40,In Progress
95,1771,19,4,Extra gravy,9.33,Credit Card,2023-02-14 16:16:54,Cancelled
96,1821,19,1,Extra gravy,11.45,Credit Card,2023-07-10 04:54:42,In Progress
97,1476,12,5,Extra mustard,23.92,Credit Card,2023-05-16 22:01:06,Completed
98,1702,5,5,None,24.38,Credit Card,2023-11-12 22:05:44,In Progress
99,1401,10,5,Extra gravy,15.12,Cash,2023-02-03 06:25:42,Completed
100,1729,17,2,No powdered sugar,28.77,Cash,2023-08-10 23:24:37,Cancelled
101,1555,5,5,Spicy,28.46,Interac Transfer,2023-06-01 17:26:27,Cancelled
102,1161,22,5,Extra mustard,5.31,Credit Card,2023-09-21 14:08:27,Cancelled
